GENERATION_PROJECT,Values_Name,Values_Code
AMOYA,AMOYA LA ESPERANZA,MOY1
BETANIA,BETANIA,CHBG
C_LLERAS_R,CARLOS LLERAS,CLL1
CALDERAS,CALDERAS,CLDR
CALIMA,CALIMA,CLMG
CHARQUITO,CHARQUITO,CQT1
CHIVOR,CHIVOR,CHVR
CUCUANA,CUCUANA,CUC1
DARIO VALENC,DARIO VALENCIA SAMPER,DVS1
EL QUIMBO,EL QUIMBO,QUI1
ESCUELAMINAS,ESCUELA DE MINAS,HMIN
ESMERALDA,ESMERALDA,ESMR
GUATAPE,GUATAPE,GTPE
GUAVIO,GUAVIO,GVIO
H_Amalfi,AMALFI,AMF1
H_America,AMERICA,AMR1
H_Asnazu,ASNAZU,ASN1
H_AuresBajo,AURES BAJO,2UX3
H_AutCemNare,AUTOG CEMENTOS DEL NARE,CMN1
H_Ayura,AUTOG AYURA,AYR1
H_Barrancas,HIDROBARRANCAS,2YNA
H_Bayona,BAYONA,BYN1
H_Belmonte,BELMONTE,BLM1
H_CampestreC,CAMPESTRE (CALARCA),CPT1
H_CampestreE,CAMPESTRE (EPM),CMP2
H_Cantayus,AUTOG CANTAYUS,2T7D
H_Caracoli,CARACOLI,CRC1
H_Cascada,CASCADA,CSC1
H_CascadaAnt,LA CASCADA (ANTIOQUIA),LCS1
H_CascadaGra,LA CASCADA DE GRANADA,3IRZ
H_Cauya,CAUYA,3AQP
H_Chorrera,LA CHORRERA,3CG9
H_Coconuco,COCONUCO,CCN1
H_Cocuyo,EL COCUYO,2S9L
H_Coello,COELLO,COE1
H_Currucucue,CURRUCUCUES,CUR1
H_ElBosque,EL BOSQUE,BSQ1
H_ElEden,EL EDEN,2SW1
H_ElLimonar,EL LIMONAR,LMR1
H_ElMolino,EL MOLINO,2T1L
H_Florida,FLORIDA,FLRD
H_Frisolera,LA FRISOLERA,2S78
H_Guacaica,GUACAICA,GCC1
H_Guaviomeno,GUAVIO MENOR,2S8N
H_Herradura,LA HERRADURA,HRD1
H_Caruquia,CARUQUIA,GCA1
H_Intermedia,INTERMEDIA,INT1
H_Inza,INZA,INZ1
H_IquiraI,IQUIRA I,IQU1
H_IquiraII,IQUIRA II,IQU2
H_JuanGarcia,JUAN GARCIA,2V5G
H_La_Vuelta,LA VUELTA,VLT1
H_LaPita,LA PITA,PTA1
H_LaRebusca,LA REBUSCA,2QRL
H_LasPalmas,LAS PALMAS,2U1G
H_Libertad,PCH LA LIBERTAD,2YIR
H_LuzMaI,LUZMA I,2TUT
H_LuzMaII,LUZMA II,2TUV
H_Magallo,MAGALLO,2SS2
H_Manantiale,MANANTIALES,MNT1
H_Mirolindo,MIROLINDO,MIR1
H_Mondomo,MONDOMO,MND1
H_Municipal,MUNICIPAL,MNC1
H_Naveta,LA NAVETA,NAV1
H_Nima,NIMA,NIM1
H_Niquia,NIQUIA,NQU1
H_Nuevoliba,NUEVO LIBARE,LBR1
H_Nutibara,NUTIBARA,NTB1
H_Oibita,OIBITA,3HDG
H_Ovejas,OVEJAS,OVJ1
H_Pajarito,PAJARITO,PJR1
H_Pastales,PASTALES,PST1
H_PaticoCab,PATICO - LA CABRERA,PTC1
H_Pocune,POCUNE,3AFQ
H_Porce3Meno,PORCE III MENOR,2S8U
H_Puente_Gui,PUENTE GUILLERMO,PTG1
H_Remedios,REMEDIOS,PMR1
H_Rio_Recio,RIO RECIO,RCIO
H_RioBobo,RIO BOBO,RBB1
H_RioCali,RIO CALI,RCL1
H_RioFrioI,RIO FRIO I,RFR1
H_RioFrioII,RIO FRIO II,RFR2
H_RioFrioTam,RIOFRIO (TAMESIS),TMS1
H_RioGrande,RIO GRANDE,RGR1
H_RioMayo,RIO MAYO,RMYO
H_RioMulato2,MULATOS II,2WC5
H_RioNegro,RIONEGRO,RNG1
H_RioPalo,RIO PALO,LPLO
H_RioPiedras,RIO PIEDRAS,RPD1
H_RioSapuye,RIO SAPUYES,SPY1
H_Rumor,RUMOR,RMR1
H_Sajandi,SAJANDI,SJN1
H_SanAndres2,SAN ANDRES DE CUERQUIA,2ZCF
H_SanCancio,SAN CANCIO,SNC1
H_SanJose,SAN JOSE,SJOG
H_SanjoseMon,SAN JOSE DE LA MONTAÑA,SJM1
H_SanJosMoII,SAN JOSE DE LA MONTAÑA II,2UR5
H_SanMatias,SAN MATIAS,2T4P
H_SantaAna,SANTA ANA,SNT1
H_SantaRita,SANTA RITA,SRA1
H_Santiago,SANTIAGO,STG1
H_SBartolome,SAN BARTOLOME,3HDE
H_SFrancisPu,SAN FRANCISCO (PUTUMAYO),SFC1
H_Silvia,SILVIA,SLV1
H_Sonson,SONSON,SNS1
H_Suba,SUBA,SBA1
H_Sueva2,SUEVA 2,SUV1
H_Tumaco1,CENTRAL TUMACO 1,CTMO
H_Tunjita,TUNJITA,TUJ1
H_TZII,TZ II,3H2U
H_Union,UNION,UNN1
H_Urrao,URRAO,PLU1
H_Usaquen,USAQUEN,USQ1
H_VentanaA,VENTANA A,VNTA
H_VentanaB,VENTANA B,VNTB
H_Violetas,LAS VIOLETAS,3DXJ
H_Zeus,ZEUS,3E9I
INSULA,INSULA,INS1
ITUANGO,ITUANGO,PES1
JAGUAS,JAGUAS,JAGS
LA TASAJERA,LA TASAJERA,LTSJ
MIEL I,MIEL I,HMLG
PLAYAS,PLAYAS,PLYS
PORCE II,PORCE II,PRC2
PORCE III,PORCE III,PRC3
PRADO,PRADO,PRDO
PRADO4,PRADO IV,PRD4
RIOGRANDE 1,RIOGRANDE I,RGRN
SALTO II,SALTO II,2QEK
SALVAJINA,SALVAJINA,SLVJ
SAN CARLOS,SAN CARLOS,SNCR
SANFRANCISCO,SAN FRANCISCO,SNFR
SNMIGUEL,SAN MIGUEL,SMI1
SOGAMOSO,SOGAMOSO,SOG1
TEQUEND1-4,TEQUENDAMA 1,2UPJ
URRA,URRA,URA1
CAMPOALEGRE,AGPE CAMPOALEGRE,3EPL
E_Jepirachi,JEPIRACHI 1 - 15,JPR1
E_GuajiraI,PARQUE EOLICO GUAJIRA I,3EE4
S_Alejandria,SOLAR ALEJANDRIA,3K6T
S_Andaluci,AGPE ANDALUCIA TALLER,3K7P
S_Baranoa,AGPE ARA BARANOA CENTRO,3NG5
S_BSBolvr503,BSB 503,3K8C
S_BSBolvr504,BSB 504,3K8E
S_Cabelleros,LOS CABALLEROS,3EV1
S_Cerrito,CERRITOS,3EXB
S_Fundacion,FUNDACION,3HF5
S_Girasoles,LOS GIRASOLES,3HLD
S_Medin,LA MEDINA,3EV3
S_Numbana,NUMBANA,3J85
S_PetaCesaII,PETALO DEL MAGDALENA,3HWM
S_PetaloCesa,PETALO DE CORDOBA II,3J2H
S_PlanetaRic,SOLAR PLANETA RICA,3J2B
S_PortonSol,PORTON DEL SOL,3IRX
S_Sierpe,LA SIERPE,3C3Z
S_Since,SINCE,3ENE
S_SolBolivar,CELSIA SOLAR BOLIVAR,2VJS
S_TierraLind,TIERRA LINDA,3HBN
S_Tolua,LA TOLUA,3HBP
S_BSLlanos4,BOSQUES SOLARES DE LOS LLANOS 4,3EFY
S_BSLlanos5,BOSQUES SOLARES DE LOS LLANOS 5,3EDL
BARRANQUILL3,BARRANQUILLA 3,TBQ3
BARRANQUILL4,BARRANQUILLA 4,TBQ4
CANDELARIA,TERMOCANDELARIA CC,TCDT
CARTAGENA1,CARTAGENA 1,CTG1
CARTAGENA2,CARTAGENA 2,CTG2
CARTAGENA3,CARTAGENA 3,CTG3
ELTESORITO,TESORITO,3ENA
FLORES 1,FLORES I CC,TFL1
FLORES4,FLORES 4 CC,TFL4
GUAJIRA1,GUAJIRA 1,TGJ1
GUAJIRA2,GUAJIRA 2,TGJ2
MERILECTRICA,MERILECTRICA 1,MRL1
PAIPA 1,PAIPA 1,PPA1
PAIPA 2,PAIPA 2,PPA2
PAIPA 3,PAIPA 3,PPA3
PAIPA 4,PAIPA 4,PPA4
PROELECTRIC1,PROELECTRICA 1,PRG1
PROELECTRIC2,PROELECTRICA 2,PRG2
TERMO_JAGUEY,TERMOPROYECTOS,JAG1
TERMORUBIALE,TERMOEBR,RUB1
T_ArgoCartag,AUTOG ARGOS CARTAGENA 1,ARG1
T_ArgosYumbo,AUTOG ARGOS YUMBO,2S6S
T_AutArCairo,AUTOG ARGOS EL CAIRO,2S6U
T_AutFertico,AUTOG FERTICOL,2YQO
T_AutHormiga,AGPE - ECOPETROL LA HORMIGA,2XXR
T_AutoFamili,AUTOG FAMILIA,2W4Y
T_AutogCDSTM,AUTOG CDS TM2500,2Y2T
T_AutoSogamo,AUTOG ARGOS SOGAMOSO 1,2V25
T_AutoYaguar,AUTOG YAGUARITO,2S6Q
T_AutTurgas,AUTOG TURGAS,2YWY
T_Bello,AUTOG PTAR BELLO,3ADA
T_Bioenergy,BIOENERGY,2SXQ
T_BiogDJuana,DOÑA JUANA,2S8S
T_Castilla1,CENTRAL CASTILLA 1,CAS1
T_CoCocaCola,AUTOG COCA-COLA FEMSA 1,2V27
T_CoColtejer,COGENERADOR COLTEJER 1,CLTJ
T_CogIncauca,INCAUCA 1,INC1
T_CogPapeles,PAPELES NACIONALES,PPN1
T_CogProenca,COGENERADOR PROENCA,PNC1
T_CoIngscarl,INGENIO SAN CARLOS 1,CIS1
T_CoManuelit,COGENERADOR MANUELITA 2,2UP2
T_CoMayagues,MAYAGUEZ 1,CGM1
T_CoProviden,INGENIO PROVIDENCIA 2,CIP1
T_CoRioPaila,INGENIO RIOPAILA 1,RPL1
T_CoRisarald,INGENIO RISARALDA 1,IRG1
T_EgipPalmas,AGPE ENTREPALMAS,3AL6
T_IngCarmerI,AUTOG INGENIO CARMELITA,3GJU
T_IngPichich,INGENIO PICHICHI 1,PIC1
T_Mechero4,TERMOMECHERO 4,2U93
T_Mechero5,TERMOMECHERO 5,2U8Y
T_Mechero6,TERMOMECHERO 6,2U91
T_Piedras,TERMOPIEDRAS,TPD1
T_ProencaII,PROENCA II,2U5P
T_Reficar,AUTOG REFICAR 1,2S8I
T_Tequendama,TEQUENDAMA BIOGAS,2S9Q
T_AutToluviejo,AUTOG ARGOS TOLUVIEJO,2S8G
T_TerBolivar,TERMOBOLIVAR 1,TMB1
T_TerCapacho,TERMOCAPACHOS,2WFN
T_Termotame,AUTOG TERMOTAME,3C4V
T_TermYopal1,TERMOYOPAL 1,TYP1
T_UatOrito,AUTOG ECOPETROL ORITO,2YB9
TASAJERO 1,TASAJERO 1,TSJ1
TASAJERO 2,TASAJERO 2,TSJ2
TC_GECELCA3,GECELCA 3,GEC3
TC_GECELCA32,GECELCA 32,GE32
TEBSAB,TEBSAB CC,TBST
TERMO YOPAL2,TERMOYOPAL 2,TYP2
TERMOCENTRO,TERMOCENTRO CC,TRM1
TERMODORADA1,TERMODORADA 1,TDR1
TERMOEMCALI,TERMOEMCALI CC,TEC1
TERMONORTE,TERMONORTE,TRN1
TERMOSIERRA,TERMOSIERRA CC,TSR1
TERMOVALLE,TERMOVALLE CC,TVL1
TERMOYOPALG3,TERMOYOPAL G3,TYP3
TERMOYOPALG4,TERMOYOPAL G4,TYP4
TERMOYOPALG5,TERMOYOPAL G5,TYP5
ZIPAEMG2,ZIPAEMG 2,ZPA2
ZIPAEMG3,ZIPAEMG 3,ZPA3
ZIPAEMG4,ZIPAEMG 4,ZPA4
ZIPAEMG5,ZIPAEMG 5,ZPA5
H_AguaFresca,AGUA FRESCA,AFR1
H_Alejandria,ALEJANDRIA,2SDR
H_Amaime,AMAIME,AMA1
H_AutCemNare,AUTOG CEMENTOS DEL NARE,CMN1
H_Barroso,BARROSO,BAR1
S_Cienaguero,CAIMAN CIENAGUERO,3J4D
H_CascadaAbe,LA CASCADA ( ABEJORRAL),ABJ1
H_Bello,BELLO,BLL3
H_ElPopal,EL POPAL,2QBW
H_Guanaquita,GUANAQUITAS,GQA1
H_Montanitas,HIDROMONTAÑITAS,HMO1
H_MorroAzul,MORRO AZUL,2SI1
H_ProvidencI,PROVIDENCIA,PRV1
H_TuluaAlto,ALTO TULUA,ALTG
H_TuluaBajo,BAJO TULUA,2QV2
H_PAGUA,PAGUA,PGUG
H_GUATRON,GUATRON,GTRG
H_ALBAN,ALBAN,ALBG
S_Dulima,CELSIA SOLAR DULIMA,3GVK
H_PalmasSanGil,PALMAS SAN GIL,PLM1
S_Victoria_I,CELSIA SOLAR LA VICTORIA I,3HF9
S_Victoria_II,CELSIA SOLAR LA VICTORIA II,3HF7
S_Flandes,GRANJA SOLAR FLANDES,3GVI
S_BSLI,TRINA-VATIA BSLI,2ZP9
S_BSLII,TRINA-VATIA BSLII,TR2G
S_BSLIII,TRINA-VATIA BSLIII,TR3G
H_LAGUNETA,LAGUNETA,2R22
S_Yumbo,AUTOG CELSIA SOLAR YUMBO,2TYI
S_Espinal,CELSIA SOLAR ESPINAL,2ZHY
S_BayuncaI,PLANTA SOLAR BAYUNCA I,3A44
S_Carmelo,CELSIA SOLAR CARMELO,3ACC
T_AutOcciden,AGPE INGENIO DE OCCIDENTE,3AXV
S_Belmonte,GRANJA SOLAR BELMONTE,3B4L
S_Paila,CELSIA SOLAR LA PAILA,3BZB
T_AutLuisa,AUTOG INGENIO MARIA LUISA 1,3C3X
S_Aurora,GY SOLAR AURORA,3CSH
S_HeliosI,HELIOS I,3DSO
S_AutLevapan,AUTOG CELSIA SOLAR LEVAPAN,3E7C
S_Cauca,AUTOG COLOMBINA DEL CAUCA,3E98
S_Tucanes,GR PARQUE SOLAR TUCANES,3EBN
H_AutGold,AUTOG GRAN COLOMBIA GOLD,3ED1
S_Harinas,AUTOG CELSIA SOLAR HARINAS,3EP6
E_Wesp01,PARQUE EÓLICO WESP01,3EXH
S_AutJeans,AUTOG CI JEANS,3F5L
S_AutPintuco,AUTOG PINTUCO,3F5N
S_Palmira3,AUTOG CELSIA SOLAR PALMIRA 3,3FCD
S_Montelibano,MONTELIBANO,3GPZ
S_Lanceros,GRANJA SOLAR LANCEROS,3FCF
S_Ferch2,AGPE FERCH2,3GFQ
S_Salado,GRANJA SOLAR EL SALADO,3GI6
S_Termotasajero,TERMOTASAJERO DOS SOLAR,3GJQ
S_SanFelipe,GRANJA SOLAR SAN FELIPE,3GRD
S_AutGragas,AUTOG BUGA I GRASAS,3GSF
S_Yuma,CELSIA SOLAR YUMA,3GVM
S_Palmira3_Franca,AUTOG CELSIA SOLAR PALMIRA 3 ZONA FRANCA,3HE8
S_SalvadorI,COMUNIDAD EL SALVADOR I,3HG7
S_SalvadorII,COMUNIDAD EL SALVADOR II,3HG9
S_AutSolla,AUTOG BUGA I SOLLA,3HS9
S_AutEncanto,AGPE EL ENCANTO,3HWK
S_Uruaco,URUACO,3HYG
T_AutCostayaco,AUTOG COSTAYACO,3IJF
S_CaracoliI,CARACOLI I,3INX
S_LaLoma,LATAM SOLAR LA LOMA,3DDT
S_ParqueUrra,PARQUE SOLAR URRA,
S_Tepuy,PARQUE SOLAR TEPUY,TPUY
S_LaMata,LA MATA,MATA
S_El_Paso,EL PASO,EPFV
S_Escobal6,ESCOBAL 6,
S_Union,PARQUE SOLAR LA UNION,3IZ6
S_Nabusimake,NABUSIMAKE,
S_Guayepo,GUAYEPO,GYPO
S_Sunnorte,SUNNORTE,3IQA
E_Windpeshi,WINDPLESHI,
E_ParqueAlph,FUTURA - PARQUE ALPHA,APHA
E_ParqueBeta,FUTURA - PARQUE BETA,BETA
E_Camelia,CAMELIAS,
E_CasaElec,FUTURA - CASA ELECTRICA,CELE
E_Apoto,FUTURA - APOTOLORRU,APLU
TermoCaribe3,TERMOCARIBE III 1,TCBE
DST_Surocciden,DST_Surocciden,
DST_Caribe,DST_Caribe,
DST_Oriental,DST_Oriental,
DST_Antioquia,DST_Antioquia,
DST_Nordeste,DST_Nordeste,