GENERATION_PROJECT,Values_Name
ALTOANCHICAY,
AMOYA,AMOYA LA ESPERANZA
BAJOANCHICAY,
BETANIA,BETANIA
C_LLERAS_R,CARLOS LLERAS
CALDERAS,CALDERAS
CALIMA,CALIMA
CHARQUITO,CHARQUITO
CHIVOR,CHIVOR
CUCUANA,CUCUANA
DARIO VALENC,DARIO VALENCIA SAMPER
EL QUIMBO,EL QUIMBO
ESCUELAMINAS,ESCUELA DE MINAS
ESMERALDA,ESMERALDA
GUADALUPE 3,
GUADALUPE 4,
GUATAPE,GUATAPE
GUAVIO,GUAVIO
H_Altamira,
H_AltoOvejas,
H_Amalfi,AMALFI
H_America,AMERICA
H_Asnazu,ASNAZU
H_AuresAlto,
H_AuresBajo,AURES BAJO
H_AurraSucia,
H_AutCemNare,
H_Ayura,AYURA
H_Barrancas,HIDROBARRANCAS
H_Bayona,BAYONA
H_Belmonte,BELMONTE
H_Buco,
H_CampestreC,CAMPESTRE (CALARCA)
H_CampestreE,CAMPESTRE (EPM)
H_Cantayus,CANTAYUS
H_Caracoli,CARACOLI
H_Cascada,CASCADA
H_CascadaAnt,LA CASCADA (ANTIOQUIA)
H_CascadaGra,
H_Cauquillo,
H_Cauya,CAUYA
H_CHLaNoque,
H_Chorrera,LA CHORRERA
H_Chorrerita,
H_Coconuco,COCONUCO  
H_Cocuyo,EL COCUYO
H_Coello,COELLO
H_Conde,
H_Currucucue,CURRUCUCUES
H_DonaTere,
H_ElBosque,EL BOSQUE
H_ElEden,EL EDEN
H_ElLimonar,EL LIMONAR
H_ElMolino,EL MOLINO
H_Florida,FLORIDA
H_Frazadas,
H_Frisolera,LA FRISOLERA
H_Guacaica,GUACAICA
H_Guachicono,
H_Guaico,
H_Guaviomeno,GUAVIO MENOR
H_Herradura,LA HERRADURA
H_Hidroarqui,
H_Hidronare,
H_Intermedia,INTERMEDIA
H_Inza,INZA
H_IquiraI,IQUIRA I
H_IquiraII,IQUIRA II
H_JuanGarcia,JUAN GARCIA
H_JulioBravo,
H_La_Vuelta,LA VUELTA
H_LaCascada,LA CASCADA DE GRANADA
H_LaFlorida,
H_LaPita,LA PITA
H_LaRebusca,LA REBUSCA
H_LasPalmas,LAS PALMAS
H_Libertad,LA LIBERTAD
H_LuzMaI,LUZMA I
H_LuzMaII,LUZMA II
H_Magallo,MAGALLO
H_Manantiale,MANANTIALES
H_Mirolindo,MIROLINDO
H_Mondomo,MONDOMO
H_Montebonit,
H_Municipal,MUNICIPAL
H_Naveta,LA NAVETA
H_Nima,NIMA
H_Niquia,NIQUIA
H_Nuevoliba,NUEVO LIBARE
H_Nutibara,NUTIBARA
H_Oibita,OIBITA
H_Ovejas,OVEJAS
H_PacoraI,
H_PacoraII,
H_Pajarito,PAJARITO
H_PanderiscI,
H_Paraiso,
H_Pastales,PASTALES
H_Patico,
H_PaticoCab,PATICO - LA CABRERA
H_PiacoraI,
H_PiacoraII,
H_Piendamo,
H_Pocune,POCUNE
H_Porce3Meno,
H_Puente_Gui,PUENTE GUILLERMO
H_Remedios,REMEDIOS
H_Rio_Recio,RIO RECIO
H_RioBobo,RIO BOBO
H_RioCali,RIO CALI
H_RioFrioI,RIO FRIO I
H_RioFrioII,RIO FRIO II
H_RioFrioTam,
H_RioGrande,RIO GRANDE
H_RioHondo,
H_RioMayo,RIO MAYO
H_RioMulato2,
H_RioNegro,RIONEGRO
H_RioPalo,RIO PALO
H_RioPiedras,RIO PIEDRAS
H_RioSapuye,RIO SAPUYES
H_RioVerde,
H_Rumor,RUMOR
H_Sajandi,SAJANDI
H_SanAndres2,SAN ANDRES DE CUERQUIA
H_SanCancio,SAN CANCIO
H_SanJose,SAN JOSE
H_SanjoseMon,
H_SanJosMoII,SAN JOSE DE LA MONTAÃ‘A II
H_SanMatias,SAN MATIAS
H_SantaAna,SANTA ANA
H_SantaInes,
H_SantaRita,SANTA RITA
H_SantaRosa,
H_Santiago,SANTIAGO
H_SBartolome,SAN BARTOLOME
H_SFrancisPu,SAN FRANCISCO (PUTUMAYO)
H_Silvia,SILVIA
H_Sirgua,
H_Sonson,SONSON
H_Suba,SUBA
H_Sueva2,SUEVA 2
H_Tatefanes,
H_Tumaco1,
H_Tunjita,
H_TZII,TZ II
H_Union,UNION
H_Urrao,H_Urrao
H_Usaquen,USAQUEN
H_VentanaA,VENTANA A
H_VentanaB,VENTANA B
H_Vequedo,
H_Versalles,
H_Violetas,LAS VIOLETAS
H_Zeus,ZEUS
INSULA,INSULA
ITUANGO,ITUANGO
JAGUAS,JAGUAS
LA GUACA,
LA TASAJERA,LA TASAJERA
LAGUN-LIMON,
MIEL I,MIEL I
PARAISO,
PLAYAS,PLAYAS
PORCE II,PORCE II
PORCE III,PORCE III
PRADO,PRADO
PRADO4,
RIOGRANDE 1,RIOGRANDE I
SALTO II,SALTO II
SALVAJINA,SALVAJINA
SAN CARLOS,SAN CARLOS
SANFRANCISCO,
SNMIGUEL,
SOGAMOSO,SOGAMOSO
TEQUEND1-4,
TRONERAS,
URRA,URRA
AF_RIOCUCUA,
AF_SNMARCOS,
CAMPOALEGRE,
CHINCHINA,
CHUZA,
COMP. ESPINO,
DESANFRAN,
DESV RBLANCO,
DOLORES,
DS_SNMARCOS,
ESTRELLA,
GUARINO,
MANSO,
MIRAFLORES,
MUNA,
NECHI,
NEGRO,
NEGRORUCIO,
NEUSA,
NIQUIA,NIQUIA
PAJARITO,
QUEBRADONA,
RB ACHU-ESPI,
RB ACHURY,
RB ESPI-ALIC,
RUCIO,
S ACUEDU-BOG,
SISGA,
TENCHE,
TOMINE,
TUNEL CHUZA,
TUNJITA,
ITUANGO2,