WATER_NODES,wn_is_sink,wnode_constant_inflow,wnode_constant_consumption
AF_RIOCUCUA,0,6.478235294,0
AF_SNMARCOS,0,2.354705882,0
ALTOANCHICAY,0,52.19764706,3.399166667
AMOYA,1,15.22147059,1
BAJOANCHICAY,1,31.21205882,0
BETANIA,1,155.4711765,0
C_LLERAS_R,0,36.92882353,4.949583333
CALDERAS,0,8.367941176,0
CALIMA,1,13.70970588,0
CAMPOALEGRE,0,9.202941176,2.13
CHARQUITO,0,0,1
CHINCHINA,0,17.08617647,0.96
CHIVOR,1,56.31588235,2.09
CHUZA,0,11.99029412,0
COMP0 ESPINO,0,0,0
CUCUANA,1,0,0
DARIO VALENC,1,0,1
DESANFRAN,0,4.093529412,0
DESV RBLANCO,0,0,0
DOLORES,0,4.126764706,0
DS_SNMARCOS,0,0,0
EL QUIMBO,0,248.4494118,18.4475
ESCUELAMINAS,0,39.94323529,7.974166667
ESMERALDA,0,12.22676471,2.3
ESTRELLA,0,2.185,0
GUADALUPE 3,0,1.065882353,0
GUADALUPE 4,0,0,0
GUARINO,0,43.68558824,13.9
GUATAPE,0,19.97147059,2.3575
GUAVIO,1,73.41117647,1.019166667
INSULA,0,0,0
ITUANGO,1,1103.869412,0
JAGUAS,0,44.51764706,0
LA GUACA,1,0,0
LA TASAJERA,0,36.435,0
LAGUN-LIMON,0,0,1
MANSO,0,12.14470588,6.5
MIEL I,1,70.69970588,0
MIRAFLORES,0,4.887058824,0
MUNA,0,0,0
NECHI,0,3.723529412,0
NEGRO,0,4.726764706,0
NEGRORUCIO,0,0,0
NEUSA,0,2.030588235,0
NIQUIA,0,0,0
PAJARITO,0,2.779705882,0
PARAISO,0,0,0
PLAYAS,0,38.51794118,0
PORCE II,0,37.86676471,0
PORCE III,1,18.38,0
PRADO,1,70.34882353,1.181666667
PRADO4,1,0,0
QUEBRADONA,0,0,0
RB ACHU-ESPI,0,3.073235294,0
RB ACHURY,0,3.919117647,0
RB ESPI-ALIC,0,16.095,1.39875
RIOGRANDE 1,0,0.520882353,0
RUCIO,0,2.445882353,0
S ACUEDU-BOG,0,3.639705882,16.8
SALTO II,0,0,1
SALVAJINA,0,160.6464706,0.531666667
SAN CARLOS,1,36.90764706,0
SANFRANCISCO,1,0,0
SISGA,0,3.525882353,0
SNMIGUEL,1,44.68117647,4.1575
SOGAMOSO,1,441.9255882,4.0325
TENCHE,0,7.12,0
TEQUEND1-4,0,0,1
TOMINE,0,5.722941176,0
TRONERAS,0,23.06823529,0
TUNEL CHUZA,0,0,0
TUNJITA,0,11.80647059,0
URRA,1,376.4270588,1.365